TABLE:  Brace Object Connectivity,,,,,,
Unique Name,Story,BraceBay,UniquePtI,UniquePtJ,Length,GUID
112,Story5,D73,35,43,20310.1,a46d7531-793b-48d6-9787-5f250b5af031
97,Story5,D76,36,44,20310.1,6b595016-e74f-45a7-a100-b613759c47e6
102,Story5,D79,33,41,20310.1,0d9733dd-2506-405a-8f83-a1f589e44d74
107,Story5,D82,34,42,20310.1,5b25e957-ed73-4277-9f27-0269b9402ded
113,Story5,D101,35,39,15720.88,4fab457e-d561-469c-bc3e-5c7524bb56a7
114,Story5,D102,39,44,12092.99,4ee6be80-8b95-40f8-a00b-d6c675d8f8a2
115,Story5,D103,36,39,15720.88,b565ebe9-db5f-4efb-8a9c-893ca5cf16a0
116,Story5,D104,39,43,12092.99,5377513d-7b80-45b1-89e3-f99c37fc6b97
98,Story5,D105,36,40,15720.88,4370f444-1967-4c8b-a1d8-01b5397f859d
99,Story5,D106,40,41,12092.98,b7429081-5db9-4e2a-a1a3-c5f09f2c4db2
100,Story5,D107,33,40,15720.88,a9551e3c-6df1-4b75-9473-86888719eeb9
101,Story5,D108,40,44,12092.98,697ed9e4-2a04-4888-98e8-ddf04284240b
103,Story5,D109,33,37,15720.88,05c25771-4a8c-4904-bb26-5ddf04abf80c
104,Story5,D110,37,42,12092.99,7bd9f19d-3e29-4b81-8654-df79601acb2c
105,Story5,D111,34,37,15720.88,ed0ecb6e-8eb4-4acd-90ae-d71c4fd61195
106,Story5,D112,37,41,12092.99,89cf73c1-f0f7-42fe-b93a-6f2d08f7bfc6
108,Story5,D113,34,38,15720.88,2b2d87ae-6bbe-453c-a216-ea0d5b26b851
109,Story5,D114,38,43,12092.98,d3a3fbd8-1450-40a7-8178-8a35fddb9745
110,Story5,D115,35,38,15720.88,2ac3e2b2-6dba-4c00-8262-6133481cf813
111,Story5,D116,38,42,12092.98,0e75085d-7b7a-4179-aeae-1eb300b95806
87,Story4,D29,28,36,20310.1,c72db167-a1a5-4b6a-93b7-53c8cff3e992
