TABLE:  Frame Assignments - Section Properties,,,,
Story,Label,UniqueName,Shape,Section Property
Story7,B17,133,Steel Pipe,SECC01
Story7,B18,136,Steel Pipe,SECC01
Story7,B19,135,Steel Pipe,SECC01
Story7,B20,134,Steel Pipe,SECC01
Story7,C5,131,Steel Pipe,SECC01
Story7,C6,132,Steel Pipe,SECC01
Story7,C7,129,Steel Pipe,SECC01
Story7,C8,130,Steel Pipe,SECC01
Story6,B17,125,Steel Pipe,SECC01
Story6,B18,128,Steel Pipe,SECC01
Story6,B19,127,Steel Pipe,SECC01
Story6,B20,126,Steel Pipe,SECC01
Story6,C5,122,Steel Pipe,SECC01
Story6,C6,123,Steel Pipe,SECC01
Story6,C7,124,Steel Pipe,SECC01
Story6,C8,121,Steel Pipe,SECC01
Story5,B17,117,Steel Pipe,SECC01
Story5,B18,120,Steel Pipe,SECC01
Story5,B19,119,Steel Pipe,SECC01
Story5,B20,118,Steel Pipe,SECC01
Story5,D73,112,Steel Pipe,SECC01
Story5,D76,97,Steel Pipe,SECC01
Story5,D79,102,Steel Pipe,SECC01
Story5,D82,107,Steel Pipe,SECC01
Story5,D101,113,Steel Pipe,SECC01
Story5,D102,114,Steel Pipe,SECC01
Story5,D103,115,Steel Pipe,SECC01
Story5,D104,116,Steel Pipe,SECC01
Story5,D105,98,Steel Pipe,SECC01
Story5,D106,99,Steel Pipe,SECC01
Story5,D107,100,Steel Pipe,SECC01
Story5,D108,101,Steel Pipe,SECC01
Story5,D109,103,Steel Pipe,SECC01
Story5,D110,104,Steel Pipe,SECC01
Story5,D111,105,Steel Pipe,SECC01
Story5,D112,106,Steel Pipe,SECC01
Story5,D113,108,Steel Pipe,SECC01
Story5,D114,109,Steel Pipe,SECC01
Story5,D115,110,Steel Pipe,SECC01
Story5,D116,111,Steel Pipe,SECC01
Story4,B13,96,Steel Pipe,SECC01
Story4,B14,95,Steel Pipe,SECC01
Story4,B15,94,Steel Pipe,SECC01
Story4,B16,93,Steel Pipe,SECC01
Story4,D29,87,Steel Pipe,SECC01
Story4,D30,92,Steel Pipe,SECC01
Story4,D31,77,Steel Pipe,SECC01
Story4,D32,82,Steel Pipe,SECC01
Story4,D85,88,Steel Pipe,SECC01
Story4,D86,89,Steel Pipe,SECC01
Story4,D87,90,Steel Pipe,SECC01
Story4,D88,91,Steel Pipe,SECC01
Story4,D89,73,Steel Pipe,SECC01
Story4,D90,74,Steel Pipe,SECC01
Story4,D91,75,Steel Pipe,SECC01
Story4,D92,76,Steel Pipe,SECC01
Story4,D93,78,Steel Pipe,SECC01
Story4,D94,79,Steel Pipe,SECC01
Story4,D95,80,Steel Pipe,SECC01
Story4,D96,81,Steel Pipe,SECC01
Story4,D97,83,Steel Pipe,SECC01
Story4,D98,84,Steel Pipe,SECC01
Story4,D99,85,Steel Pipe,SECC01
Story4,D100,86,Steel Pipe,SECC01
Story3,B9,69,Steel Pipe,SECC01
Story3,B10,72,Steel Pipe,SECC01
Story3,B11,71,Steel Pipe,SECC01
Story3,B12,70,Steel Pipe,SECC01
Story3,D13,64,Steel Pipe,SECC01
Story3,D14,49,Steel Pipe,SECC01
Story3,D15,54,Steel Pipe,SECC01
Story3,D16,59,Steel Pipe,SECC01
Story3,D53,65,Steel Pipe,SECC01
Story3,D54,66,Steel Pipe,SECC01
Story3,D55,67,Steel Pipe,SECC01
Story3,D56,68,Steel Pipe,SECC01
Story3,D57,50,Steel Pipe,SECC01
Story3,D58,51,Steel Pipe,SECC01
Story3,D59,52,Steel Pipe,SECC01
Story3,D60,53,Steel Pipe,SECC01
Story3,D61,55,Steel Pipe,SECC01
Story3,D62,56,Steel Pipe,SECC01
Story3,D63,57,Steel Pipe,SECC01
Story3,D64,58,Steel Pipe,SECC01
Story3,D65,60,Steel Pipe,SECC01
Story3,D66,61,Steel Pipe,SECC01
Story3,D67,62,Steel Pipe,SECC01
Story3,D68,63,Steel Pipe,SECC01
Story2,B5,45,Steel Pipe,SECC01
Story2,B6,46,Steel Pipe,SECC01
Story2,B7,47,Steel Pipe,SECC01
Story2,B8,48,Steel Pipe,SECC01
Story2,D2,25,Steel Pipe,SECC04
Story2,D3,30,Steel Pipe,SECC04
Story2,D11,35,Steel Pipe,SECC04
Story2,D12,40,Steel Pipe,SECC04
Story2,D33,26,Steel Pipe,SECC04
Story2,D34,27,Steel Pipe,SECC04
Story2,D35,28,Steel Pipe,SECC04
Story2,D36,29,Steel Pipe,SECC04
Story2,D37,31,Steel Pipe,SECC04
Story2,D38,32,Steel Pipe,SECC04
